"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Foundations and Trends in Machine Learning","FOUND TRENDS MACH LE","NOW PUBLISHERS INC","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","5,119","36.6","Q1","4.62","0"%,
"Nature Machine Intelligence","NAT MACH INTELL","NATURE PORTFOLIO","N/A","2522-5839","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","23,900","29.8","Q1","4.19","37.47"%,
"Computers and Education: Artificial Intelligence","COMPUT EDUC-ARTIF IN","ELSEVIER","2666-920X","2666-920X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","7,468","23.4","Q1","5.27","100"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","IEEE COMPUTER SOC","0162-8828","1939-3539","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","123,304","20.4","Q1","3.93","5.12"%,
"Radiology-Artificial Intelligence","RADIOL-ARTIF INTELL","RADIOLOGICAL SOC NORTH AMERICA (RSNA)","2638-6100","2638-6100","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,771","20.1","Q1","3.22","17.39"%,
"ARTIFICIAL INTELLIGENCE REVIEW","ARTIF INTELL REV","SPRINGER","0269-2821","1573-7462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","31,582","18.8","Q1","2.41","79.12"%,
"Information Fusion","INFORM FUSION","ELSEVIER","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","40,171","17.4","Q1","3.07","15.32"%,
"Artificial Intelligence in Agriculture","ARTIF INTELL AGR","KEAI PUBLISHING LTD","2097-2113","2589-7217","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,650","16.1","Q1","2.8","99.28"%,
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1089-778X","1941-0026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","29,066","15.9","Q1","2.96","8.42"%,
"IEEE TRANSACTIONS ON IMAGE PROCESSING","IEEE T IMAGE PROCESS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1057-7149","1941-0042","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","95,219","15.3","Q1","2.23","2.07"%,
"Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery","WIRES DATA MIN KNOWL","WILEY","1942-4787","1942-4795","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,540","15","Q1","1.08","41.79"%,
