"Journal Data Filtered By:  Selected Categories: ENGINEERING, BIOMEDICAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Nature Reviews Bioengineering","NAT REV BIOENG","SPRINGERNATURE","N/A","2731-6092","ENGINEERING, BIOMEDICAL","SCIE","5,529","42.7","Q1","3.11","3.47"%,
"Nature Biomedical Engineering","NAT BIOMED ENG","NATURE PORTFOLIO","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","SCIE","24,906","26.3","Q1","4.83","33.59"%,
"Bioactive Materials","BIOACT MATER","KEAI PUBLISHING LTD","N/A","2452-199X","ENGINEERING, BIOMEDICAL","SCIE","43,995","23.6","Q1","3.92","100"%,
"Cyborg and Bionic Systems","CYBORG BIONIC SYST","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2692-7632","ENGINEERING, BIOMEDICAL","SCIE","2,883","20.9","Q1","3.09","100"%,
"Biomedical Technology","BIOMED TECHNOL-PRC","KEAI PUBLISHING LTD","N/A","2949-723X","ENGINEERING, BIOMEDICAL","ESCI","1,023","16.4","Q1","2.31","100"%,
"IEEE Reviews in Biomedical Engineering","IEEE REV BIOMED ENG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1937-3333","1941-1189","ENGINEERING, BIOMEDICAL","SCIE","3,840","16","Q1","2.52","22"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","ENGINEERING, BIOMEDICAL","SCIE","32,042","14","Q1","2.67","33.76"%,
"BIOMATERIALS","BIOMATERIALS","ELSEVIER SCI LTD","0142-9612","1878-5905","ENGINEERING, BIOMEDICAL","SCIE","110,718","13.6","Q1","2.34","16"%,
"Smart Medicine","SMART MED","WILEY-V C H VERLAG GMBH","2751-1871","2751-1871","ENGINEERING, BIOMEDICAL","ESCI","1,239","12.8","Q1","1.25","100"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0278-0062","1558-254X","ENGINEERING, BIOMEDICAL","SCIE","43,138","12.4","Q1","2.4","10.4"%,
"Annual Review of Biomedical Engineering","ANNU REV BIOMED ENG","ANNUAL REVIEWS","1523-9829","1545-4274","ENGINEERING, BIOMEDICAL","SCIE","5,920","11.5","Q1","1.09","100"%,
"Materials Today Bio","MATER TODAY BIO","ELSEVIER","2590-0064","2590-0064","ENGINEERING, BIOMEDICAL","SCIE","18,290","11","Q1","1.83","99.95"%,
"Advanced Healthcare Materials","ADV HEALTHC MATER","WILEY-V C H VERLAG GMBH","2192-2640","2192-2659","ENGINEERING, BIOMEDICAL","SCIE","58,168","11","Q1","1.39","27.11"%,
"Acta Biomaterialia","ACTA BIOMATER","ELSEVIER SCI LTD","1742-7061","1878-7568","ENGINEERING, BIOMEDICAL","SCIE","71,730","10.4","Q1","1.68","28.75"%,
"Biomaterials Research","BIOMATER RES","AMER ASSOC ADVANCEMENT SCIENCE","1226-4601","2055-7124","ENGINEERING, BIOMEDICAL","SCIE","6,095","9.8","Q1","1.26","100"%,
"BME Frontiers","BME FRONT","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2765-8031","ENGINEERING, BIOMEDICAL","ESCI","841","9.1","Q1","1.04","100"%,
"Progress in Biomedical Engineering","PROG BIOMED ENG","IOP Publishing Ltd","N/A","2516-1091","ENGINEERING, BIOMEDICAL","ESCI","906","8.5","Q1","0.71","70.83"%,
"Biofabrication","BIOFABRICATION","IOP Publishing Ltd","1758-5082","1758-5090","ENGINEERING, BIOMEDICAL","SCIE","10,551","8.2","Q1","1.41","65.15"%,
"Bio-Design and Manufacturing","BIO-DES MANUF","SPRINGER HEIDELBERG","2096-5524","2522-8552","ENGINEERING, BIOMEDICAL","SCIE","2,245","7.9","Q1","1.17","24.67"%,
"Artificial Intelligence in Medicine","ARTIF INTELL MED","ELSEVIER","0933-3657","1873-2860","ENGINEERING, BIOMEDICAL","SCIE","9,654","7.8","Q1","1.28","31.47"%,
"npj Regenerative Medicine","NPJ REGEN MED","NATURE PORTFOLIO","N/A","2057-3995","ENGINEERING, BIOMEDICAL","SCIE","3,206","7","Q1","1.37","100"%,
"Photoacoustics","PHOTOACOUSTICS","ELSEVIER GMBH","2213-5979","2213-5979","ENGINEERING, BIOMEDICAL","SCIE","4,068","6.9","Q1","1.9","100"%,
