"Journal Data Filtered By:  Selected Categories: MEDICAL INFORMATICS Selected Editions: SCIE Selected JCR Year: 1998 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,1998 JIF,JIF Quartile,1998 JCI,% of Citable OA
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","HANLEY & BELFUS INC","1067-5027","1527-974X","MEDICAL INFORMATICS","SCIE","545","2.462","Q1","N/A","N/A",
"MEDICAL DECISION MAKING","MED DECIS MAKING","HANLEY & BELFUS INC","0272-989X","1552-681X","MEDICAL INFORMATICS","SCIE","1,155","2.125","Q1","N/A","N/A",
"MEDICAL INFORMATICS","MED INFORM","TAYLOR & FRANCIS LTD","0307-7640","N/A","MEDICAL INFORMATICS","SCIE","258","1.614","Q1","N/A","N/A",
"INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE","INT J TECHNOL ASSESS","CAMBRIDGE UNIV PRESS","0266-4623","1471-6348","MEDICAL INFORMATICS","SCIE","661","1.385","Q1","N/A","N/A",
"STATISTICS IN MEDICINE","STAT MED","JOHN WILEY & SONS LTD","0277-6715","1097-0258","MEDICAL INFORMATICS","SCIE","3,252","1.177","Q1","N/A","N/A",
"ACADEMIC MEDICINE","ACAD MED","HANLEY & BELFUS INC","1040-2446","1938-808X","MEDICAL INFORMATICS","SCIE","2,272","1.126","Q2","N/A","N/A",
"M D COMPUTING","M D COMPUT","SPRINGER VERLAG","0724-6811","N/A","MEDICAL INFORMATICS","SCIE","204","1.033","Q2","N/A","N/A",
"ARTIFICIAL INTELLIGENCE IN MEDICINE","ARTIF INTELL MED","ELSEVIER SCIENCE BV","0933-3657","1873-2860","MEDICAL INFORMATICS","SCIE","215","1.015","Q2","N/A","N/A",
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","PETER PEREGRINUS LTD","0140-0118","1741-0444","MEDICAL INFORMATICS","SCIE","1,561","0.856","Q2","N/A","N/A",
"COMPUTERS AND BIOMEDICAL RESEARCH","COMPUT BIOMED RES","ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS","0010-4809","N/A","MEDICAL INFORMATICS","SCIE","537","0.836","Q2","N/A","N/A",
"IEEE ENGINEERING IN MEDICINE AND BIOLOGY MAGAZINE","IEEE ENG MED BIOL","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0739-5175","1937-4186","MEDICAL INFORMATICS","SCIE","370","0.786","Q3","N/A","N/A",
"MEDICAL EDUCATION","MED EDUC","BLACKWELL SCIENCE LTD","0308-0110","1365-2923","MEDICAL INFORMATICS","SCIE","990","0.716","Q3","N/A","N/A",
"COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE","COMPUT METH PROG BIO",,"0169-2607","1872-7565","MEDICAL INFORMATICS","SCIE","673","0.664","Q3","N/A","N/A",
"METHODS OF INFORMATION IN MEDICINE","METHOD INFORM MED","F K SCHATTAUER VERLAG GMBH","0026-1270","2511-705X","MEDICAL INFORMATICS","SCIE","581","0.651","Q3","N/A","N/A",
"BIOMEDIZINISCHE TECHNIK","BIOMED TECH","FACHVERLAG SCHIELE SCHON","0013-5585","1862-278X","MEDICAL INFORMATICS","SCIE","230","0.441","Q3","N/A","N/A",
"INTERNATIONAL JOURNAL OF BIO-MEDICAL COMPUTING","INT J BIOMED COMPUT",,"0020-7101","N/A","MEDICAL INFORMATICS","SCIE","327","0.403","Q4","N/A","N/A",
"JOURNAL OF MEDICAL ENGINEERING & TECHNOLOGY","J MED ENG TECHNOL","TAYLOR & FRANCIS LTD","0309-1902","1464-522X","MEDICAL INFORMATICS","SCIE","166","0.383","Q4","N/A","N/A",
"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","INT J MED INFORM",,"1386-5056","1872-8243","MEDICAL INFORMATICS","SCIE","34","0.375","Q4","N/A","N/A",
"INTERNATIONAL JOURNAL OF CLINICAL MONITORING AND COMPUTING","INT J CLIN MONIT COM","KLUWER ACADEMIC PUBL","0167-9945","N/A","MEDICAL INFORMATICS","SCIE","121","0.241","Q4","N/A","N/A",
"JOURNAL OF CLINICAL MONITORING AND COMPUTING","J CLIN MONITOR COMP","KLUWER ACADEMIC PUBL","1387-1307","N/A","MEDICAL INFORMATICS","SCIE","4","N/A","Q4","N/A","N/A",

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
